,product name,price
0,"SAMSUNG Galaxy M11 (Violet, 32 GB)","₹10,990"
1,"SAMSUNG Galaxy M11 (Metallic Blue, 64 GB)","₹10,990"
2,"SAMSUNG Galaxy M11 (Black, 32 GB)","₹12,999"
3,"SAMSUNG Galaxy M11 (Black, 64 GB)","₹11,980"
4,"SAMSUNG Galaxy M11 (Metallic Blue, 32 GB)","₹10,990"
5,"SAMSUNG Galaxy M11 (Violet, 64 GB)","₹11,979"
6,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹11,499"
7,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹11,499"
8,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹11,499"
9,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,999"
10,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹11,999"
11,"SAMSUNG Galaxy M12 (Black, 64 GB)","₹10,359"
12,"SAMSUNG Galaxy M12 (Blue, 64 GB)","₹10,388"
13,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹13,999"
14,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹11,999"
15,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","₹12,499"
16,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)","₹12,499"
17,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹13,999"
18,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999"
19,"SAMSUNG Galaxy M12 (Black, 128 GB)","₹12,990"
20,"SAMSUNG Galaxy A22 5G (Violet, 128 GB)","₹16,678"
21,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999"
22,"SAMSUNG M32 5G (Sky blue, 128 GB)","₹16,819"
23,"SAMSUNG Galaxy M12 (White, 128 GB)","₹12,999"
